Variable,Type,Description
gender,object,This is the gender of the student.
ssc_p,float,Secondary Education percentage- 10th Grade
ssc_b,object, Board of Education- Central/ Others
hsc_p,float, Higher Secondary Education percentage- 12th Grade
hsc_b,object,Board of Education- Central/ Others
hsc_s,object,Specialization in Higher Secondary Education
degree_p,float,Degree Percentage
degree_t ,object,Under Graduation(Degree type)- Field of degree education
workex,object,Work Experience
etest_p,float, Employability test percentage (conducted by the college)
specialisation,object, Post Graduation(MBA)- Specialization
mba_p,float, MBA percentage
status,object,: Status of placement- Placed/Not placed
